Date,Day,Open,High,Low,Close,Change,Range,Type
2026-06-17,Wednesday,4331.69,4382.62,4219.17,4257.65,-74.04,163.45,bearish
2026-06-16,Tuesday,4312.98,4354.95,4306.11,4331.28,18.3,48.84,bullish
2026-06-15,Monday,4301.67,4369.67,4280.4,4308.85,7.19,89.27,bullish
2026-06-12,Friday,4208.54,4246.72,4170.29,4218.56,10.03,76.43,bullish
2026-06-11,Thursday,4061.7,4220.22,4023.87,4211.2,149.49,196.35,bullish
2026-06-10,Wednesday,4256.15,4257.6,4067.24,4072.02,-184.13,190.36,bearish
2026-06-09,Tuesday,4326.5,4363.72,4236.7,4259.97,-66.53,127.02,bearish
2026-06-08,Monday,4321.55,4353.45,4268.48,4330.06,8.51,84.97,bullish
2026-06-05,Friday,4474.19,4481.63,4311.93,4327.89,-146.3,169.69,bearish
2026-06-04,Thursday,4431.91,4515.52,4423.97,4475.29,43.38,91.55,bullish
2026-06-03,Wednesday,4490.12,4496.89,4426.42,4434.72,-55.4,70.47,bearish
2026-06-02,Tuesday,4483.39,4541.63,4463.01,4487.96,4.57,78.62,bullish
2026-06-01,Monday,4520.8,4546.27,4447.86,4484.73,-36.07,98.41,bearish
2026-05-29,Friday,4497.09,4595.33,4488.98,4540.53,43.44,106.35,bullish
2026-05-28,Thursday,4456.89,4516.63,4366.23,4495.83,38.93,150.4,bullish
2026-05-27,Wednesday,4506.73,4528.05,4401.63,4456.12,-50.61,126.42,bearish
2026-05-26,Tuesday,4571.33,4580.25,4482.62,4507.57,-63.76,97.63,bearish
2026-05-25,Monday,4550.54,4580.21,4548.91,4570.31,19.77,31.3,bullish
2026-05-22,Friday,4544.91,4545.26,4491.93,4509.69,-35.22,53.33,bearish
2026-05-21,Thursday,4544.62,4570.9,4488.63,4543.43,-1.19,82.27,bearish
2026-05-20,Wednesday,4484.73,4553.05,4453.39,4543.71,58.97,99.65,bullish
2026-05-19,Tuesday,4570.36,4589.58,4464.78,4482.12,-88.24,124.8,bearish
2026-05-18,Monday,4545.81,4584.38,4480.41,4566.16,20.35,103.97,bullish
2026-05-15,Friday,4654.08,4665.45,4510.98,4540.65,-113.43,154.46,bearish
2026-05-14,Thursday,4693.6,4718.88,4644.31,4652.27,-41.33,74.57,bearish
2026-05-13,Wednesday,4719.91,4727.03,4669.52,4689.14,-30.76,57.51,bearish
2026-05-12,Tuesday,4740.56,4773.58,4638.37,4715.5,-25.07,135.21,bearish
2026-05-11,Monday,4687.43,4748.95,4648.09,4735.46,48.02,100.86,bullish
2026-05-08,Friday,4694.56,4749.58,4682.05,4715.72,21.15,67.53,bullish
2026-05-07,Thursday,4690.17,4764.91,4685.27,4687.18,-2.98,79.63,bearish
2026-05-06,Wednesday,4552.07,4723.14,4546.36,4690.91,138.84,176.78,bullish
2026-05-05,Tuesday,4520.77,4586.6,4513.66,4557.54,36.76,72.95,bullish
2026-05-04,Monday,4625.35,4629.47,4501.04,4524.12,-101.24,128.43,bearish
2026-05-01,Friday,4629.52,4660.59,4560.32,4613.84,-15.68,100.27,bearish
2026-04-30,Thursday,4540.13,4647.05,4539.69,4622.06,81.93,107.36,bullish
2026-04-29,Wednesday,4598.75,4610.54,4510.1,4543.72,-55.03,100.44,bearish
